,Fecha,Estacion_de_Servicio,Producto,Vehiculo,Equipo/Placa,Cantidad_Galones,Costo_Total_ACPM,Actividad_Equipo
175,2023-02-12,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,60.784,431505.616,MINERIA
176,2023-02-12,EDS TORRASA,ACPM,VOLQUETA,JSL 245,46.708,444613.452,MINERIA
177,2023-02-12,EDS TORRASA,ACPM,VOLQUETA,XMD 367,54.005,514073.59500000003,MINERIA
178,2023-02-18,EDS TORRASA,CORRIENTE,NISSAN,DMM 139,14.679,159986.421,MINERIA
179,2023-02-20,EDS TORRASA,ACPM,D-MAX,75IJAH,10.192,97017.648,MINERIA
180,2023-02-25,EDS TORRASA,ACPM,D-MAX,75IJAH,13.34,126983.45999999999,MINERIA
181,2023-02-24,EDS TORRASA,CORRIENTE,NISSAN,DMM 139,14.851,161712.53900000002,MINERIA
182,2023-02-27,EDS TORRASA,CORRIENTE,NISSAN,DMM 139,14.894,162180.766,MINERIA
183,2023-02-02,EDS LA BELENCITA,ACPM,VOLQUETA,XMD 331,76.585,549497.375,MINERIA
184,2023-02-02,EDS LA BELENCITA,ACPM,VOLQUETA,XMD 367,76.655,549999.625,MINERIA
185,2023-02-02,EDS LA BELENCITA,ACPM,MAQUINARIA,MAQUINARIA,120.682,865893.35,MINERIA
186,2023-02-02,EDS LA BELENCITA,CORRIENTE,NISSAN,DMM 139,13.094,116733.01,MINERIA
187,2023-02-02,EDS LA BELENCITA,ACPM,VOLQUETA,XVV 775,51.139,366922.325,MINERIA
